timestamp,source,summary
2026-08-10 00:03:56,firewall,10.14.7.23:65018 -> 44.236.72.93:443 TCP ALLOW (OUTBOUND-WEB)
2026-08-10 00:04:20,flow_train,10.14.7.23 -> 142.250.74.14:53 UDP dur=70.962s
2026-08-10 00:08:50,flow_train,10.14.7.23 -> 104.16.132.229:53 UDP dur=51.996s
2026-08-10 00:24:00,firewall,10.14.7.23:56213 -> 185.125.190.29:80 TCP ALLOW (OUTBOUND-WEB)
2026-08-10 00:44:27,flow_train,10.14.7.23 -> 185.125.190.29:443 TCP dur=57.919s
2026-08-10 00:57:28,flow_train,10.14.7.23 -> 142.250.74.14:443 TCP dur=132.297s
2026-08-10 01:00:37,firewall,10.14.7.23:63969 -> 13.107.6.156:53 UDP ALLOW (DNS-OUT)
2026-08-10 01:02:52,flow_train,10.14.7.23 -> 185.125.190.29:443 TCP dur=4.53s
2026-08-10 01:16:03,firewall,10.14.7.23:64909 -> 13.107.6.156:443 TCP ALLOW (OUTBOUND-WEB)
2026-08-10 01:25:18,dns,query windowsupdate.com -> NOERROR
2026-08-10 01:26:58,flow_train,10.14.7.23 -> 140.82.121.4:1433 TCP dur=18.397s
2026-08-10 01:32:25,flow_train,10.14.7.23 -> 185.125.190.29:53 UDP dur=0.834s
2026-08-10 01:43:20,flow_train,10.14.7.23 -> 185.125.190.29:443 TCP dur=67.479s
2026-08-10 01:44:57,flow_train,10.14.7.23 -> 13.107.6.156:443 TCP dur=4.095s
2026-08-10 01:48:53,firewall,10.14.7.23:62641 -> 104.16.132.229:443 TCP ALLOW (OUTBOUND-WEB)
2026-08-10 01:57:03,flow_train,10.14.7.23 -> 142.250.74.14:445 TCP dur=44.205s
2026-08-10 02:08:03,flow_train,10.14.7.23 -> 140.82.121.4:443 TCP dur=21.333s
2026-08-10 02:10:08,flow_train,10.14.7.23 -> 185.125.190.29:443 TCP dur=6.731s
2026-08-10 02:10:38,firewall,10.14.7.23:50269 -> 20.112.52.29:53 UDP ALLOW (DNS-OUT)
2026-08-10 02:22:52,flow_train,10.14.7.23 -> 44.236.72.93:22 TCP dur=45.142s
2026-08-10 02:27:00,flow_train,10.14.7.23 -> 104.16.132.229:443 TCP dur=3.326s
2026-08-10 02:42:41,flow_train,10.14.7.23 -> 140.82.121.4:80 TCP dur=8.212s
2026-08-10 02:49:29,flow_train,10.14.7.23 -> 185.125.190.29:443 TCP dur=129.897s
2026-08-10 02:51:02,flow_train,10.14.7.23 -> 104.16.132.229:443 TCP dur=135.109s
2026-08-10 03:21:11,firewall,10.14.7.23:55937 -> 20.112.52.29:123 UDP ALLOW (NTP-OUT)
2026-08-10 03:24:45,flow_train,10.14.7.23 -> 142.250.74.14:443 TCP dur=5.709s
2026-08-10 03:38:14,flow_train,10.14.7.23 -> 140.82.121.4:3389 TCP dur=29.89s
2026-08-10 03:47:53,firewall,10.14.7.23:50312 -> 44.236.72.93:53 UDP ALLOW (DNS-OUT)
